topic_id,df,label
стол,11,стол
бог,11,бог
лень,11,лень
срочно,11,срочно
стать,11,стать
смерть,11,смерть
которая,11,которая
шобы,11,шобы
варик,11,варик
сел,11,сел
часто,11,часто
сне,11,сне
слышу,11,слышу
любишь,11,любишь
говна,11,говна
гов,11,гов
слов,11,слов
такими,11,такими
полностью,11,полностью
мире,11,мире
четверг,11,четверг
захотелось,11,захотелось
штаны,11,штаны
шутки,11,шутки
помощь,11,помощь
слушаю,11,слушаю
раввина,11,раввина
немеша,11,немеша
отношения,11,отношения
ебошить,11,ебошить
ебанутый,11,ебанутый
балконе,11,балконе
любитель,11,любитель
проходил,11,проходил
ченить,11,ченить
выспался,11,выспался
хватит,11,хватит
данный,11,данный
интересного,11,интересного
ебаное,11,ебаное
тех,11,тех
картинки,11,картинки
понравилась,11,понравилась
акции,11,акции
уровень,11,уровень
бухой,11,бухой
обратно,11,обратно
дешевле,11,дешевле
делай,11,делай
ляяяя,11,ляяяя
орнул,11,орнул
ешиве,11,ешиве
качество,11,качество
канеш,11,канеш
готово,11,готово
простой,11,простой
отдал,11,отдал
позвонил,11,позвонил
охуенная,11,охуенная
пойдем,11,пойдем
курс,11,курс
период,11,период
збс,11,збс
аниме,11,аниме
пройти,11,пройти
сердце,10,сердце
глянуть,10,глянуть
желания,10,желания
ебашил,10,ебашил
умею,10,умею
серьезно,10,серьезно
смерти,10,смерти
ебошил,10,ебошил
пользуюсь,10,пользуюсь
едет,10,едет
стресс,10,стресс
показать,10,показать
зочем,10,зочем
уехал,10,уехал
спрашивает,10,спрашивает
зубы,10,зубы
просит,10,просит
извините,10,извините
таблетки,10,таблетки
сверху,10,сверху
показалось,10,показалось
лежит,10,лежит
бабы,10,бабы
блэт,10,блэт
ебануть,10,ебануть
остальные,10,остальные
попробовал,10,попробовал
нуууу,10,нуууу
гуляю,10,гуляю
раввином,10,раввином
кухню,10,кухню
пивом,10,пивом
этими,10,этими
волк,10,волк
мать,10,мать
сыч,10,сыч
готовлю,10,готовлю
шел,10,шел
ебна,10,ебна
фотошопе,10,фотошопе
ванной,10,ванной
кота,10,кота
бога,10,бога
хде,10,хде
возьми,10,возьми
онлайн,10,онлайн
инсте,10,инсте
выделить,10,выделить
зацени,10,зацени
ицхаком,10,ицхаком
въебал,10,въебал
думают,10,думают
пацанам,10,пацанам
хуясе,10,хуясе
отдых,10,отдых
аналогично,10,аналогично
окна,10,окна
вац,10,вац
днем,10,днем
ебет,10,ебет
другим,10,другим
фотки,10,фотки
интернет,10,интернет
русском,10,русском
сами,10,сами
порой,10,порой
хуе,10,хуе
войны,10,войны
действительно,10,действительно
заходил,10,заходил
моих,10,моих
звонит,10,звонит
времена,10,времена
пишут,10,пишут
спорт,10,спорт
абсолютно,10,абсолютно
искусство,10,искусство
пятницу,10,пятницу
стим,10,стим
глаз,10,глаз
магазине,10,магазине
смотря,10,смотря
любой,10,любой
силы,10,силы
сила,10,сила
наши,10,наши
мешает,10,мешает
язык,10,язык
хуйней,10,хуйней
тупые,10,тупые
наканецта,10,наканецта
гулял,10,гулял
атомик,10,атомик
бээзрат,10,бээзрат
прикинь,10,прикинь
покупаю,10,покупаю
рагнарек,10,рагнарек
шото,10,шото
ебошу,10,ебошу
дудя,10,дудя
нечего,10,нечего
выпить,10,выпить
кайфую,10,кайфую
охуели,10,охуели
быстрее,10,быстрее
экспрессо,10,экспрессо
нравятся,10,нравятся
пей,10,пей
потерял,10,потерял
могли,10,могли
больно,10,больно
чувствуешь,10,чувствуешь
хули,10,хули
живут,10,живут
русски,10,русски
красивый,10,красивый
пиздямба,10,пиздямба
поебать,10,поебать
психолог,10,психолог
стоят,10,стоят
марине,10,марине
очкун,10,очкун
всякий,10,всякий
праздник,10,праздник
первая,10,первая
художник,10,художник
топчик,10,топчик
баба,10,баба
компании,10,компании
пиздеть,10,пиздеть
обсуждали,10,обсуждали
внутри,10,внутри
вес,10,вес
хорошие,10,хорошие
твою,10,твою
вид,10,вид
оки,10,оки
трансляцию,10,трансляцию
живу,9,живу
первые,9,первые
ицика,9,ицика
само,9,само
оставить,9,оставить
движ,9,движ
note,9,note
большие,9,большие
полный,9,полный
дает,9,дает
поможет,9,поможет
баннер,9,баннер
праздники,9,праздники
иврит,9,иврит
omitted>,9,omitted>
кровать,9,кровать
кризис,9,кризис
полтора,9,полтора
мужик,9,мужик
помер,9,помер
зяма,9,зяма
бесплатно,9,бесплатно
прикольная,9,прикольная
хлам,9,хлам
точки,9,точки
кошерно,9,кошерно
мущина,9,мущина
маска,9,маска
юмор,9,юмор
группы,9,группы
саня,9,саня
лежать,9,лежать
зуб,9,зуб
поговорил,9,поговорил
лежал,9,лежал
сайпал,9,сайпал
гостях,9,гостях
первой,9,первой
истории,9,истории
рассказать,9,рассказать
хоспаде,9,хоспаде
большая,9,большая
ходят,9,ходят
слышно,9,слышно
варианты,9,варианты
хуйни,9,хуйни
хуита,9,хуита
женщины,9,женщины
ммм,9,ммм
начать,9,начать
маску,9,маску
странная,9,странная
диалог,9,диалог
заказ,9,заказ
погнали,9,погнали
предложили,9,предложили
гулять,9,гулять
пошла,9,пошла
зависит,9,зависит
компания,9,компания
йом,9,йом
пс5,9,пс5
маму,9,маму
вульфа,9,вульфа
напомни,9,напомни
услышал,9,услышал
война,9,война
удалось,9,удалось
б-гу,9,б-гу
гениально,9,гениально
шлюха,9,шлюха
скучно,9,скучно
других,9,других
пидарасы,9,пидарасы
youtu,9,youtu
новая,9,новая
английский,9,английский
менять,9,менять
встаю,9,встаю
бабка,9,бабка
позвонили,9,позвонили
выходит,9,выходит
веду,9,веду
сорян,9,сорян
главный,9,главный
глаза,9,глаза
еле,9,еле
серию,9,серию
ответили,9,ответили
гавно,9,гавно
придется,9,придется
можем,9,можем
пиздарики,9,пиздарики
ради,9,ради
умный,9,умный
долбаебы,9,долбаебы
аля,9,аля
физически,9,физически
мож,9,мож
яички,9,яички
никакой,9,никакой
своя,9,своя
пойдет,9,пойдет
модель,9,модель
пришла,9,пришла
людьми,9,людьми
<video,9,<video
пидр,9,пидр
кайфуешь,9,кайфуешь
отношение,9,отношение
отвечать,9,отвечать
ебучие,9,ебучие
где-то,9,где-то
ебучая,9,ебучая
сук,9,сук
принял,9,принял
дождь,9,дождь
отправить,9,отправить
минимум,9,минимум
религия,9,религия
епрст,9,епрст
ицхака,9,ицхака
штук,9,штук
дорого,9,дорого
логика,9,логика
сидишь,9,сидишь
значица,9,значица
море,9,море
винца,9,винца
общаешься,9,общаешься
